ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletAge,VisibilityPercent,PremiumProduct
FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,26,0.7564836,False
FDW14,8.3,reg,0.038427677,Dairy,87.3198,OUT017,2007,Unknown,Tier 2,Supermarket Type1,18,3.8427677,False
NCN55,14.6,Low Fat,0.099574908,Others,241.7538,OUT010,1998,Unknown,Tier 3,Grocery Store,27,9.9574908,True
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,Unknown,Tier 2,Supermarket Type1,18,1.5388393,False
FDY38,12.695633368756642,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,40,11.859931399999999,True
FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,28,6.3817206,False
FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,16,8.2601537,False
FDC48,12.695633368756642,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type3,40,1.5782495,False
FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436,OUT045,2002,Unknown,Tier 2,Supermarket Type1,23,12.3365446,False
FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,2007,Unknown,Tier 2,Supermarket Type1,18,0.5698435,False
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,Unknown,Tier 2,Supermarket Type1,18,10.3569075,False
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,Unknown,Tier 2,Supermarket Type1,23,10.581147,False
NCC54,12.695633368756642,Low Fat,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,Tier 1,Grocery Store,40,17.1079215,True
FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,26,9.2737611,False
DRL59,16.75,LF,0.021206464,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,38,2.1206464,False
FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,Tier 1,Supermarket Type1,26,7.94507,False
FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,OUT045,2002,Unknown,Tier 2,Supermarket Type1,23,5.413521,False
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,16,3.7980963,False
